doc_id,sentence_id,sentence,frame_index,frame_name,target_text,target_start,target_end,element_name,element_filler,filler_start,filler_end
pilot_climate,p001,Technology can reduce emissions.,0,Capability,can,,,Entity,Technology,,
pilot_climate,p001,Technology can reduce emissions.,0,Capability,can,,,Event,reduce emissions,,
pilot_climate,p001,Technology can reduce emissions.,1,Cause_change_of_position_on_a_scale,reduce,,,Agent,Technology,,
pilot_climate,p001,Technology can reduce emissions.,1,Cause_change_of_position_on_a_scale,reduce,,,Entity,emissions,,
pilot_climate,p002,ExxonMobil invests in carbon capture.,0,Investment,invests,,,Investor,ExxonMobil,,
pilot_climate,p002,ExxonMobil invests in carbon capture.,0,Investment,invests,,,Asset,carbon capture,,
pilot_climate,p003,Carbon capture helps industry lower emissions.,0,Assistance,helps,,,Helper,Carbon capture,,
pilot_climate,p003,Carbon capture helps industry lower emissions.,0,Assistance,helps,,,Benefited_party,industry,,
pilot_climate,p003,Carbon capture helps industry lower emissions.,0,Assistance,helps,,,Goal,industry lower emissions,,
pilot_climate,p003,Carbon capture helps industry lower emissions.,1,Cause_change_of_position_on_a_scale,lower,,,Agent,industry,,
pilot_climate,p003,Carbon capture helps industry lower emissions.,1,Cause_change_of_position_on_a_scale,lower,,,Entity,emissions,,
pilot_climate,p004,Energy demand is rising.,0,Change_position_on_a_scale,rising,,,Item,Energy demand,,
pilot_climate,p005,Companies report progress on climate goals.,0,Reporting,report,,,Reporter,Companies,,
pilot_climate,p005,Companies report progress on climate goals.,0,Reporting,report,,,Message,progress on climate goals,,
pilot_climate,p006,Consumers choose lower-carbon products.,0,Choosing,choose,,,Cognizer,Consumers,,
pilot_climate,p006,Consumers choose lower-carbon products.,0,Choosing,choose,,,Chosen,lower-carbon products,,
pilot_climate,p007,Utilities expand solar capacity.,0,Expansion,expand,,,Agent,Utilities,,
pilot_climate,p007,Utilities expand solar capacity.,0,Expansion,expand,,,Asset,solar capacity,,
pilot_climate,p008,Oil producers face pressure from investors.,0,Pressure,face,,,Affected_party,Oil producers,,
pilot_climate,p008,Oil producers face pressure from investors.,0,Pressure,face,,,Source,investors,,
pilot_climate,p009,Factories adopt cleaner fuels.,0,Adoption,adopt,,,Adopter,Factories,,
pilot_climate,p009,Factories adopt cleaner fuels.,0,Adoption,adopt,,,Item,cleaner fuels,,
pilot_climate,p010,Governments set stricter methane rules.,0,Setting,set,,,Setter,Governments,,
pilot_climate,p010,Governments set stricter methane rules.,0,Setting,set,,,Rule,stricter methane rules,,
pilot_climate,p011,Banks finance renewable energy projects.,0,Financing,finance,,,Financier,Banks,,
pilot_climate,p011,Banks finance renewable energy projects.,0,Financing,finance,,,Project,renewable energy projects,,
pilot_climate,p012,Heavy industry tests hydrogen boilers.,0,Testing,tests,,,Tester,Heavy industry,,
pilot_climate,p012,Heavy industry tests hydrogen boilers.,0,Testing,tests,,,Technology,hydrogen boilers,,
pilot_climate,p013,Power grids need more storage.,0,Need,need,,,Entity,Power grids,,
pilot_climate,p013,Power grids need more storage.,0,Need,need,,,Requirement,more storage,,
pilot_climate,p014,Startups develop battery recycling services.,0,Developing,develop,,,Developer,Startups,,
pilot_climate,p014,Startups develop battery recycling services.,0,Developing,develop,,,Product,battery recycling services,,
pilot_climate,p015,Airlines buy sustainable aviation fuel.,0,Commerce_buy,buy,,,Buyer,Airlines,,
pilot_climate,p015,Airlines buy sustainable aviation fuel.,0,Commerce_buy,buy,,,Goods,sustainable aviation fuel,,
pilot_climate,p016,Retailers track supply chain emissions.,0,Tracking,track,,,Tracker,Retailers,,
pilot_climate,p016,Retailers track supply chain emissions.,0,Tracking,track,,,Item,supply chain emissions,,
pilot_climate,p017,Steelmakers use electric furnaces.,0,Using,use,,,User,Steelmakers,,
pilot_climate,p017,Steelmakers use electric furnaces.,0,Using,use,,,Instrument,electric furnaces,,
pilot_climate,p018,Carbon markets reward verified reductions.,0,Rewarding,reward,,,Actor,Carbon markets,,
pilot_climate,p018,Carbon markets reward verified reductions.,0,Rewarding,reward,,,Recipient,verified reductions,,
pilot_climate,p019,Consumers expect credible climate claims.,0,Expectation,expect,,,Experiencer,Consumers,,
pilot_climate,p019,Consumers expect credible climate claims.,0,Expectation,expect,,,Content,credible climate claims,,
pilot_climate,p020,Data centers consume more electricity.,0,Consumption,consume,,,Consumer,Data centers,,
pilot_climate,p020,Data centers consume more electricity.,0,Consumption,consume,,,Resource,more electricity,,
pilot_climate,p021,Mining companies restore damaged land.,0,Restoring,restore,,,Agent,Mining companies,,
pilot_climate,p021,Mining companies restore damaged land.,0,Restoring,restore,,,Asset,damaged land,,
pilot_climate,p022,Shipping firms order cleaner vessels.,0,Commerce_buy,order,,,Buyer,Shipping firms,,
pilot_climate,p022,Shipping firms order cleaner vessels.,0,Commerce_buy,order,,,Goods,cleaner vessels,,
pilot_climate,p023,Manufacturers redesign products to use less energy.,0,Designing,redesign,,,Designer,Manufacturers,,
pilot_climate,p023,Manufacturers redesign products to use less energy.,0,Designing,redesign,,,Product,products,,
pilot_climate,p023,Manufacturers redesign products to use less energy.,0,Designing,redesign,,,Goal,use less energy,,
pilot_climate,p023,Manufacturers redesign products to use less energy.,1,Using,use,,,User,products,,
pilot_climate,p023,Manufacturers redesign products to use less energy.,1,Using,use,,,Instrument,less energy,,
pilot_climate,p024,Energy companies balance profits and transition spending.,0,Balancing,balance,,,Agent,Energy companies,,
pilot_climate,p024,Energy companies balance profits and transition spending.,0,Balancing,balance,,,Item_1,profits,,
pilot_climate,p024,Energy companies balance profits and transition spending.,0,Balancing,balance,,,Item_2,transition spending,,
